last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest
1949999.75,82.8,4,2.8,17.0,53.8,1,False,False,False,9.631573113079387,0,35375.0,14665.0
1262500.0,61.0,2,2.77149889685604,5.0,38.0,5,False,False,False,11.0,1,-1.0,-1.0
1100000.0,34.0,1,2.77149889685604,25.0,15.0,9,False,False,False,10.0,0,24078.0,11729.0
1125000.0,48.0,1,3.1,5.0,15.2,5,False,False,False,12.0,0,19508.0,3585.0
2975000.0,72.0,2,3.0,25.0,36.0,9,False,False,False,14.0,2,10663.0,12738.0
450000.0,42.6,2,2.55,4.0,29.8,3,False,False,False,5.2,0,-1.0,-1.0
1574750.0,54.0,2,2.6,17.0,28.0,17,False,False,False,10.5,1,25360.0,14749.0
948500.0,33.2,1,2.8,14.0,16.4,3,False,False,False,9.0,2,26971.0,8784.0
31087500.0,248.7,4,3.4,9.0,131.0,4,False,False,False,23.0,0,21946.0,2242.0
787500.0,66.0,3,2.6,6.0,45.9,4,False,False,False,7.1,0,-1.0,-1.0
1675000.0,67.2,3,2.8,3.0,44.0,1,False,False,False,9.0,0,18202.0,17204.0
1950000.0,72.0,3,2.7,6.0,34.5,6,False,False,False,23.5,1,18557.0,30710.0
1500000.0,63.0,2,2.77149889685604,19.0,32.0,19,False,False,False,11.0,0,38171.0,15015.0
8375000.0,189.0,5,3.0,14.0,78.0,7,False,False,False,19.0,1,28057.0,6996.0
3249750.0,102.0,4,3.2,6.0,69.0,2,False,False,False,10.0,0,20944.0,820.0
5500000.0,108.3,3,3.15,8.0,49.1,3,False,False,False,19.7,0,31532.0,4624.0
975000.0,53.0,1,2.6,25.0,21.0,8,False,False,False,10.0,2,-1.0,-1.0
1316250.0,73.0,4,2.56,9.0,49.0,8,False,False,False,6.3,0,33338.0,10894.0
337500.0,30.1,1,2.5,9.0,16.3,5,False,False,False,7.2,0,-1.0,-1.0
875000.0,30.8,1,2.5,5.0,17.4,5,False,False,False,5.5,1,12680.0,12592.0
1025000.0,52.4,2,2.5,5.0,32.6,5,False,False,False,5.7,0,47904.0,51329.0
1250000.0,40.1,1,2.65,10.0,20.1,6,False,False,False,10.8,1,26495.0,14198.0
3247500.0,117.3,3,2.77149889685604,8.0,69.0,8,False,False,False,14.6,0,14489.0,13285.0
972500.0,35.3,1,2.77149889685604,17.0,18.6,4,False,False,False,8.6,0,30010.0,14206.0
1837500.0,67.4,2,2.77149889685604,25.0,32.9,22,False,False,False,10.3,0,13194.0,11990.0
1091250.0,55.06,2,2.77149889685604,15.0,28.747599533256857,7,False,False,False,14.24,0,-1.0,-1.0
312500.0,38.2,2,2.77149889685604,2.0,28.0,1,False,False,False,8.2,0,-1.0,-1.0
1412500.0,100.0,3,3.3,8.0,65.0,6,False,False,False,20.0,2,-1.0,-1.0
1912500.0,63.1,2,3.0,4.0,35.1,1,False,False,False,8.7,0,37640.0,8537.0
2225000.0,100.4,3,3.38,6.0,57.5,2,False,False,False,16.6,0,24087.0,5228.0
512500.0,53.3,2,2.77149889685604,5.0,27.82867880716656,1,False,False,False,8.738674560459065,0,-1.0,-1.0
10750000.0,280.0,5,4.4,5.0,155.33117945836298,4,False,False,False,27.84415659415445,0,26711.0,5559.0
1412500.0,70.0,4,2.6,5.0,56.0,5,False,False,False,7.0,1,47645.0,15769.0
1147500.0,49.0,1,2.8,13.0,21.539028422693857,11,False,False,False,10.96431240746918,0,15395.0,13936.0
1125000.0,46.0,1,2.8,22.0,18.0,18,False,False,False,12.0,2,35257.0,14772.0
1475000.0,56.0,2,2.75,12.0,32.0,3,False,False,False,11.0,1,-1.0,-1.0
